NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_COAGULATION	HALLMARK_COAGULATION	Details ...	140	0.3869942	1.8589165	0.0	0.016336668	0.008	3129	tags=39%, list=18%, signal=46%	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	Details ...	224	0.3285882	1.6745507	0.0	0.04273681	0.036	4225	tags=41%, list=24%, signal=53%	
HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM	Details ...	168	0.33173963	1.6315767	0.0	0.04142266	0.053	4028	tags=36%, list=23%, signal=46%	
HALLMARK_P53_PATHWAY	HALLMARK_P53_PATHWAY	Details ...	208	0.30271733	1.5278699	0.0	0.072709486	0.128	3196	tags=30%, list=18%, signal=36%	
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	Details ...	181	0.2866037	1.4161232	0.0030395137	0.1573727	0.321	4957	tags=40%, list=28%, signal=55%	
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	Details ...	200	0.27525097	1.3989676	0.0060790274	0.1502828	0.356	4361	tags=38%, list=24%, signal=49%	
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT	Details ...	202	0.272731	1.368383	0.009118541	0.16325764	0.425	4885	tags=40%, list=27%, signal=55%	
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE	Details ...	182	0.26752174	1.3249241	0.022222223	0.20312355	0.549	4311	tags=36%, list=24%, signal=47%	
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	Details ...	237	0.25067517	1.3135502	0.003164557	0.19960035	0.582	2515	tags=23%, list=14%, signal=26%	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION	Details ...	219	0.2504704	1.2831488	0.040498443	0.22947416	0.664	4137	tags=32%, list=23%, signal=42%	
HALLMARK_PANCREAS_BETA_CELLS	HALLMARK_PANCREAS_BETA_CELLS	Details ...	24	0.36786044	1.2190354	0.1816092	0.35728878	0.865	2906	tags=38%, list=16%, signal=45%	
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	Details ...	109	0.26496583	1.211319	0.108571425	0.34862015	0.884	4771	tags=37%, list=27%, signal=50%	
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE	Details ...	100	0.26029518	1.1866571	0.14173229	0.38200217	0.922	4540	tags=37%, list=25%, signal=49%	
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	Details ...	158	0.24313766	1.1851859	0.113702625	0.35947898	0.926	5674	tags=42%, list=32%, signal=61%	
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP	Details ...	218	0.22980088	1.1811407	0.08681672	0.34729877	0.929	3684	tags=27%, list=21%, signal=33%	
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	Details ...	202	0.23147745	1.174933	0.10377359	0.34177533	0.936	1984	tags=16%, list=11%, signal=18%	
HALLMARK_HYPOXIA	HALLMARK_HYPOXIA	Details ...	220	0.22819269	1.1715761	0.11801242	0.3293902	0.94	5176	tags=38%, list=29%, signal=52%	
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	Details ...	92	0.2562407	1.1324551	0.2	0.4193625	0.978	4792	tags=42%, list=27%, signal=58%	
HALLMARK_PROTEIN_SECRETION	HALLMARK_PROTEIN_SECRETION	Details ...	101	0.24395025	1.109277	0.26271185	0.46569106	0.988	5228	tags=36%, list=29%, signal=50%	
FRIDMAN_SENESCENCE_UP	FRIDMAN_SENESCENCE_UP	Details ...	73	0.26154304	1.1061958	0.23444976	0.4520554	0.988	5146	tags=52%, list=29%, signal=73%	
HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_EARLY		205	0.21539934	1.090829	0.21835443	0.47517568	0.991	2999	tags=21%, list=17%, signal=25%	
